id,gen,smile,source,score,weight
AAAH,0,CC(C)(C)c1ccc(C(=O)N2C(C(=O)NCc3ccccc3)CC3CC32)cc1,generated,-7.9,376.5000000000001
AAAA,0,CCCCC(NC(=O)Nc1cc2[nH]nc(C(C)=O)c2cn1)c1ccc(F)cc1,generated,-7.7,383.4270000000001
AAAD,0,CCc1c(C=C(C(=O)O)C2CCCCC2)[nH]c2cc(C)ccc12,generated,-7.4,311.425
AAAE,0,Cc1cccc(CCc2cc(C)c(C(=O)c3ccc(-c4ccccc4)o3)c(C)n2)c1,generated,-7.4,395.5020000000001
AAAF,0,Cc1ccc(CCCNC(=O)c2ccc(O)c(C(=O)N(C)C)c2)cc1,generated,-7.3,340.4230000000001
AAAI,0,CC(=O)c1cnc(CN(C)C)c(CNC(=O)c2cc(C)cc(C(F)(F)F)c2)c1,generated,-7.3,393.40900000000005
AAAC,0,COc1cc(-c2c(C)nc(N)nc2C)ccc1SC(C)S(N)(=O)=O,generated,-7.2,368.4840000000001
AAAB,0,COc1ccc(Cn2cnc3c(N)nc(SCC(=O)c4ccccc4)cc32)cc1,generated,-7.0,404.4950000000001
AAAJ,0,CCCCCCCCCCCCCCCCCC(=O)NC1c2cc(C)c(C)nc2OCC1O,generated,-6.4,460.70300000000015
AAAG,0,CCCC(CC)CC(=O)NS(=O)(=O)c1ccc(-c2csc(N)c2-c2ccc(OC)cc2)cc1,generated,-6.0,486.6590000000003
